primary_location,total_cases,avg_severity,avg_recency,total_risk,normalized_risk,lat,lon
Bijbehara,1,1,0.1,0.1,0.1,33.796125,75.1039063
Bithan,1,2,0.1,0.2,0.2,25.697823,86.2978552
Bollywood,2,2.5,0.990051814,4.95223917,2.476119585,18.9796054,72.8381206
Burmanagar,1,2,0.939882887,1.879765774,1.879765774,,
Burnt,1,2,0.986097544,1.972195089,1.972195089,15.8947566,73.4665859
Chandigarh,1,1,0.1,0.1,0.1,30.7334421,76.7797143
Chhatrapati,1,1,0.998001999,0.998001999,0.998001999,19.877263,75.3390241
Chhattisgarh,1,1,0.826959134,0.826959134,0.826959134,21.6637359,81.8406351
Chhattisgarh Rashmi,1,3,1,3,3,,
Chirang,1,1,0.1,0.1,0.1,26.6464231,90.624157
Churachandpur,1,3,0.908464016,2.725392048,2.725392048,24.3468839,93.6994143
Coimbatore,1,3,0.982161032,2.946483097,2.946483097,11.0018115,76.9628425
Colonelganj,1,2,0.1,0.2,0.2,27.1048735,81.7035794
Covid-19,1,2,0.1,0.2,0.2,10.5629375,76.1591923
Dabra Village,1,3,0.1,0.3,0.3,23.3824224,77.8430105
Dadabhai,1,3,0.1,0.3,0.3,21.7033945,72.9981941
Dalepura,1,2,0.1,0.2,0.2,27.8366853,75.7056498
Dalit,1,3,0.1,0.3,0.3,28.5680364,77.3116012
Dantewada,1,2,0.1,0.2,0.2,18.8640648,81.3833947
Daurala,1,3,0.1,0.3,0.3,29.1149252,77.7054571
Delhi,94,2.095744681,0.425460534,67.23302414,0.715244938,28.6138954,77.2090057
Denmark,1,3,0.1,0.3,0.3,57.0571389,9.8964462
Devaraj,1,3,0.25,0.75,0.75,12.8436448,77.6686835
Dharamshala,1,1,0.879853379,0.879853379,0.879853379,32.2143039,76.3196717
Dhauli,1,3,0.852143789,2.556431367,2.556431367,20.1892094,85.844003
Diva,1,2,0.1,0.2,0.2,19.1887564,73.0414169
Dongargarh,1,3,0.707512487,2.122537461,2.122537461,21.1851921,80.7612115
Dudu,1,3,0.1,0.3,0.3,26.6811224,75.2320764
East Delhi’S,1,3,0.1,0.3,0.3,28.5737083,77.258017
Ekdil,1,3,0.1,0.3,0.3,26.7660735,79.1185583
Enumamula Village,1,3,0.1,0.3,0.3,,
Faizabad,1,3,0.1,0.3,0.3,26.7807986,82.1486589
Faridabad,2,2,0.83297594,3.41513201,1.707566005,28.4031478,77.3105561
Faridpur,2,3,0.135507843,0.813047056,0.406523528,28.2083265,79.5375964
Farmland,1,1,0.587428936,0.587428936,0.587428936,9.5397317,76.6475845
Fatehpur,1,3,0.1,0.3,0.3,25.8348023,80.9154547
